,2016-02-29,2016-06-30,2016-10-31,2017-03-31,2017-07-31,2017-11-30,2018-05-31,2018-10-31,2019-02-28,2019-07-31,2019-12-31,2020-06-30,2020-09-30,2021-03-31,2021-06-30,2021-11-30,mean,std
momentum_6_1,677,1132,124,4,4,211,66,7,8,7,154,826,206,162,181,5,235.875,328.0115994519096
reversal_1m,548,1062,99,10,7,225,72,4,7,8,150,737,223,162,210,21,221.5625,295.25200438566037
momentum_12_1,560,1111,101,6,3,248,71,9,5,3,112,726,198,126,139,16,214.625,306.39861190122906
log_mkt_cap,591,1013,93,0,0,195,42,0,0,0,78,591,149,104,114,0,185.625,282.1745636569675
idio_vol_20d,525,793,87,11,3,123,42,2,3,4,73,491,114,84,98,12,154.0625,227.14820843174175
turnover_mean_20d,566,822,56,7,3,154,46,4,4,4,88,413,119,70,75,6,152.3125,231.43079925487447
price_to_52w_high,504,989,65,10,4,150,25,1,2,2,50,328,89,73,67,7,147.875,254.65807345340536
turnover_std_20d,476,652,45,5,1,114,25,1,0,1,39,317,52,67,64,5,116.5,187.67025603435405
limit_up_reversal,381,636,48,3,0,93,8,0,0,0,20,283,110,115,132,8,114.8125,171.95101728035806
volatility_20d,388,531,37,4,5,113,23,2,1,1,44,260,81,81,88,10,104.3125,150.7529928185507
reversal_5d,334,259,25,0,0,24,0,0,0,0,2,68,9,6,2,0,45.5625,97.26636671403945
